"Country or Area","Year(s)","Value","Value Footnotes"
"Afghanistan","2012","29381",""
"Afghanistan","2011","27983",""
"Afghanistan","2010","28029",""
"Afghanistan","2009","26150",""
"Afghanistan","2008","28301",""
"Afghanistan","2007","28769",""
"Afghanistan","2006","25475",""
"Afghanistan","2005","21844",""
"Afghanistan","2004","18404",""
"Afghanistan","2003","13808",""
"Afghanistan","2002","13794",""
"Afghanistan","2001","10139",""
"Afghanistan","2000","7107",""
"Afghanistan","1999","3314",""
"Afghanistan","1998","3084",""
"Afghanistan","1997","1290",""
"Afghanistan","1991","23067",""
"Afghanistan","1990","4332",""
"Albania","2012","408",""
"Albania","2011","422",""
"Albania","2010","431",""
"Albania","2009","445",""
"Albania","2008","427",""
"Albania","2007","438",""
"Albania","2006","469",""
"Albania","2005","506",""
"Albania","2004","547",""
"Albania","2003","555",""
"Albania","2002","594",""
"Albania","2001","555",""
"Albania","2000","604",""
"Albania","1999","733",""
"Albania","1998","694",""
"Albania","1997","655",""
"Albania","1996","738",""
"Albania","1995","641",""
"Albania","1994","707",""
"Albania","1991","628",""
"Albania","1990","653",""
"Algeria","2012","21880",""
"Algeria","2011","21429",""
"Algeria","2010","22336",""
"Algeria","2009","21701",""
"Algeria","2008","20588",""
"Algeria","2007","21369",""
"Algeria","2006","21143",""
"Algeria","2005","21336",""
"Algeria","2004","19929",""
"Algeria","2003","19730",""
"Algeria","2002","18934",""
"Algeria","2001","18250",""
"Algeria","2000","18572",""
"Algeria","1999","16647",""
"Algeria","1998","15324",""
"Algeria","1997","16522",""
"Algeria","1996","15329",""
"Algeria","1995","13507",""
"Algeria","1994","13345",""
"Algeria","1993","13345",""
"Algeria","1992","11428",""
"Algeria","1991","11332",""
"Algeria","1990","11607",""
"Andorra","2012","9",""
"Andorra","2011","3",""
"Andorra","2010","7",""
"Andorra","2009","8",""
"Andorra","2008","4",""
"Andorra","2007","5",""
"Andorra","2006","12",""
"Andorra","2005","10",""
"Andorra","2004","7",""
"Andorra","2003","11",""
"Andorra","2002","5",""
"Andorra","2001","10",""
"Andorra","2000","12",""
"Andorra","1999","10",""
"Andorra","1998","8",""
"Andorra","1997","19",""
"Andorra","1996","17",""
"Andorra","1994","24",""
"Andorra","1993","15",""
"Andorra","1992","21",""
"Andorra","1991","24",""
"Andorra","1990","23",""
"Angola","2012","51819",""
"Angola","2011","47240",""
"Angola","2010","44655",""
"Angola","2009","41221",""
"Angola","2008","44576",""
"Angola","2007","41292",""
"Angola","2006","50419",""
"Angola","2005","37175",""
"Angola","2004","35437",""
"Angola","2003","36079",""
"Angola","2002","29996",""
"Angola","2001","21713",""
"Angola","2000","16062",""
"Angola","1999","14235",""
"Angola","1998","14296",""
"Angola","1997","15066",""
"Angola","1996","15424",""
"Angola","1995","5143",""
"Angola","1994","7157",""
"Angola","1993","8269",""
"Angola","1992","11272",""
"Angola","1991","11134",""
"Angola","1990","10271",""
"Antigua and Barbuda","2012","3",""
"Antigua and Barbuda","2011","6",""
"Antigua and Barbuda","2010","7",""
"Antigua and Barbuda","2009","3",""
"Antigua and Barbuda","2008","1",""
"Antigua and Barbuda","2007","2",""
"Antigua and Barbuda","2006","4",""
"Antigua and Barbuda","2005","6",""
"Antigua and Barbuda","2003","1",""
"Antigua and Barbuda","2002","4",""
"Antigua and Barbuda","2001","1",""
"Antigua and Barbuda","2000","4",""
"Antigua and Barbuda","1999","3",""
"Antigua and Barbuda","1998","4",""
"Antigua and Barbuda","1997","4",""
"Antigua and Barbuda","1996","3",""
"Antigua and Barbuda","1995","0",""
"Antigua and Barbuda","1992","6",""
"Antigua and Barbuda","1991","0",""
"Antigua and Barbuda","1990","1",""
"Argentina","2012","8758",""
"Argentina","2011","9733",""
"Argentina","2010","7336",""
"Argentina","2009","7701",""
"Argentina","2008","9196",""
"Argentina","2007","10227",""
"Argentina","2006","9675",""
"Argentina","2005","10576",""
"Argentina","2004","11413",""
"Argentina","2003","10844",""
"Argentina","2002","11548",""
"Argentina","2001","11456",""
"Argentina","2000","11767",""
"Argentina","1999","11871",""
"Argentina","1998","12276",""
"Argentina","1997","12621",""
"Argentina","1996","13397",""
"Argentina","1995","13450",""
"Argentina","1994","13683",""
"Argentina","1993","13887",""
"Argentina","1992","12606",""
"Argentina","1991","12185",""
"Argentina","1990","12309",""
"Armenia","2012","1213",""
"Armenia","2011","1261",""
"Armenia","2010","1410",""
"Armenia","2009","1560",""
"Armenia","2008","1655",""
"Armenia","2007","1682",""
"Armenia","2006","1767",""
"Armenia","2005","2206",""
"Armenia","2004","1660",""
"Armenia","2003","1538",""
"Armenia","2002","1433",""
"Armenia","2001","1389",""
"Armenia","2000","1333",""
"Armenia","1999","1488",""
"Armenia","1998","1381",""
"Armenia","1997","1051",""
"Armenia","1996","928",""
"Armenia","1995","1000",""
"Armenia","1994","753",""
"Armenia","1993","590",""
"Armenia","1992","235",""
"Armenia","1991","741",""
"Armenia","1990","590",""
"Australia","2012","1305",""
"Australia","2011","1239",""
"Australia","2010","1257",""
"Australia","2009","1294",""
"Australia","2008","1215",""
"Australia","2007","1120",""
"Australia","2006","1163",""
"Australia","2005","1046",""
"Australia","2004","1071",""
"Australia","2003","949",""
"Australia","2002","1013",""
"Australia","2001","980",""
"Australia","2000","1043",""
"Australia","1999","1073",""
"Australia","1998","899",""
"Australia","1997","1145",""
"Australia","1995","1073",""
"Australia","1994","1057",""
"Australia","1993","991",""
"Australia","1992","1011",""
"Australia","1991","950",""
"Australia","1990","1016",""
"Austria","2012","620",""
"Austria","2011","671",""
"Austria","2010","659",""
"Austria","2009","686",""
"Austria","2007","811",""
"Austria","2006","855",""
"Austria","2005","928",""
"Austria","2004","895",""
"Austria","2003","946",""
"Austria","2002","1044",""
"Austria","2001","1013",""
"Austria","2000","1185",""
"Austria","1999","1085",""
"Austria","1998","1302",""
"Austria","1997","1394",""
"Austria","1996","1290",""
"Austria","1995","1481",""
"Austria","1994","1264",""
"Austria","1993","1267",""
"Austria","1992","1354",""
"Austria","1991","1426",""
"Austria","1990","1521",""
"Azerbaijan","2012","6363",""
"Azerbaijan","2011","9146",""
"Azerbaijan","2010","7550",""
"Azerbaijan","2009","9462",""
"Azerbaijan","2008","7632",""
"Azerbaijan","2007","5521",""
"Azerbaijan","2006","5705",""
"Azerbaijan","2005","6034",""
"Azerbaijan","2004","5404",""
"Azerbaijan","2003","3845",""
"Azerbaijan","2002","5142",""
"Azerbaijan","2001","4898",""
"Azerbaijan","2000","5187",""
"Azerbaijan","1999","4654",""
"Azerbaijan","1998","4672",""
"Azerbaijan","1997","4635",""
"Azerbaijan","1996","2480",""
"Azerbaijan","1995","1630",""
"Azerbaijan","1994","2839",""
"Azerbaijan","1993","3036",""
"Azerbaijan","1992","2821",""
"Azerbaijan","1991","2771",""
"Azerbaijan","1990","2620",""
"Bahamas","2012","32",""
"Bahamas","2011","41",""
"Bahamas","2010","31",""
"Bahamas","2009","45",""
"Bahamas","2008","49",""
"Bahamas","2007","46",""
"Bahamas","2006","60",""
"Bahamas","2005","48",""
"Bahamas","2004","53",""
"Bahamas","2003","38",""
"Bahamas","2002","44",""
"Bahamas","2000","82",""
"Bahamas","1999","76",""
"Bahamas","1998","75",""
"Bahamas","1997","88",""
"Bahamas","1996","59",""
"Bahamas","1995","57",""
"Bahamas","1994","78",""
"Bahamas","1993","60",""
"Bahamas","1992","63",""
"Bahamas","1991","53",""
"Bahamas","1990","46",""
"Bahrain","2012","225",""
"Bahrain","2011","225",""
"Bahrain","2010","246",""
"Bahrain","2009","326",""
"Bahrain","2008","304",""
"Bahrain","2007","296",""
"Bahrain","2006","278",""
"Bahrain","2005","280",""
"Bahrain","2004","244",""
"Bahrain","2003","261",""
"Bahrain","2002","191",""
"Bahrain","2001","188",""
"Bahrain","2000","207",""
"Bahrain","1999","145",""
"Bahrain","1998","83",""
"Bahrain","1997","45",""
"Bahrain","1996","49",""
"Bahrain","1995","43",""
"Bahrain","1993","114",""
"Bahrain","1992","140",""
"Bahrain","1991","142",""
"Bahrain","1990","117",""
"Bangladesh","2012","168683",""
"Bangladesh","2011","154358",""
"Bangladesh","2010","153892",""
"Bangladesh","2009","160875",""
"Bangladesh","2008","151062",""
"Bangladesh","2007","147342",""
"Bangladesh","2006","145186",""
"Bangladesh","2005","123118",""
"Bangladesh","2004","98336",""
"Bangladesh","2003","88156",""
"Bangladesh","2002","83485",""
"Bangladesh","2001","76302",""
"Bangladesh","2000","75557",""
"Bangladesh","1999","79339",""
"Bangladesh","1998","72256",""
"Bangladesh","1997","63420",""
"Bangladesh","1996","63471",""
"Bangladesh","1995","56437",""
"Bangladesh","1994","48276",""
"Bangladesh","1993","54001",""
"Bangladesh","1992","31400",""
"Bangladesh","1991","56052",""
"Bangladesh","1990","48673",""
"Barbados","2012","4",""
"Barbados","2011","0",""
"Barbados","2010","6",""
"Barbados","2009","2",""
"Barbados","2008","3",""
"Barbados","2007","16",""
"Barbados","2006","5",""
"Barbados","2004","19",""
"Barbados","2002","5",""
"Barbados","2001","6",""
"Barbados","2000","3",""
"Barbados","1999","2",""
"Barbados","1998","7",""
"Barbados","1997","5",""
"Barbados","1996","3",""
"Barbados","1995","3",""
"Barbados","1992","6",""
"Barbados","1991","5",""
"Barbados","1990","5",""
"Belarus","2012","4783",""
"Belarus","2011","4697",""
"Belarus","2010","5098",""
"Belarus","2009","5250",""
"Belarus","2008","5126",""
"Belarus","2007","5351",""
"Belarus","2006","5142",""
"Belarus","2005","5308",""
"Belarus","2004","5443",""
"Belarus","2003","5963",""
"Belarus","2002","5139",""
"Belarus","2001","5505",""
"Belarus","2000","6799",""
"Belarus","1999","7339",""
"Belarus","1998","6150",""
"Belarus","1997","5985",""
"Belarus","1996","5598",""
"Belarus","1995","4854",""
"Belarus","1994","4348",""
"Belarus","1993","4134",""
"Belarus","1992","2414",""
"Belarus","1991","3745",""
"Belarus","1990","3039",""
"Belgium","2012","909",""
"Belgium","2011","985",""
"Belgium","2010","1028",""
"Belgium","2009","1020",""
"Belgium","2008","939",""
"Belgium","2007","955",""
"Belgium","2006","1043",""
"Belgium","2005","1076",""
"Belgium","2004","1128",""
"Belgium","2003","1064",""
"Belgium","2002","1211",""
"Belgium","2001","1321",""
"Belgium","2000","1278",""
"Belgium","1999","1124",""
"Belgium","1998","1203",""
"Belgium","1997","1263",""
"Belgium","1996","1348",""
"Belgium","1995","1380",""
"Belgium","1994","1521",""
"Belgium","1993","1503",""
"Belgium","1992","1335",""
"Belgium","1991","1462",""
"Belgium","1990","1577",""
"Belize","2012","84",""
"Belize","2011","74",""
"Belize","2010","145",""
"Belize","2009","88",""
"Belize","2008","88",""
"Belize","2007","63",""
"Belize","2006","85",""
"Belize","2005","102",""
"Belize","2004","83",""
"Belize","2003","99",""
"Belize","2002","135",""
"Belize","2001","136",""
"Belize","2000","106",""
"Belize","1999","104",""
"Belize","1998","123",""
"Belize","1997","107",""
"Belize","1996","99",""
"Belize","1995","95",""
"Belize","1994","59",""
"Belize","1993","80",""
"Belize","1992","65",""
"Belize","1991","89",""
"Belize","1990","57",""
"Benin","2012","3966",""
"Benin","2011","4212",""
"Benin","2010","3756",""
"Benin","2009","3878",""
"Benin","2008","3872",""
"Benin","2007","3565",""
"Benin","2006","3608",""
"Benin","2005","3270",""
"Benin","2004","3116",""
"Benin","2003","2940",""
"Benin","2002","2841",""
"Benin","2001","2659",""
"Benin","2000","2697",""
"Benin","1999","2636",""
"Benin","1998","2384",""
"Benin","1997","2308",""
"Benin","1996","2372",""
"Benin","1995","2400",""
"Benin","1994","2117",""
"Benin","1993","2335",""
"Benin","1992","2420",""
"Benin","1991","2162",""
"Benin","1990","2074",""
"Bhutan","2012","1130",""
"Bhutan","2011","1235",""
"Bhutan","2010","1311",""
"Bhutan","2009","1125",""
